GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021900199,1610612757,Trail Blazers,POR,Portland,240.000000:00,40,92,0.435,16,29,0.552,8,13,0.615,11,37,48,20,5,4,17,23,104,-11.0
0021900199,1610612740,Pelicans,NOP,New Orleans,240.000000:00,41,93,0.441,13,36,0.361,20,24,0.833,16,37,53,24,10,5,13,15,115,11.0
