gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,matchupMinutes,partialPossessions,switchesOn,playerPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,blocks,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage
0022000399,1610612740,New Orleans,Pelicans,NOP,pelicans,1627742,Brandon,Ingram,B. Ingram,brandon-ingram,F,,14,14:52,70.2,0,17,4,2,1,1,0,6,8,0.75,3,4,0.75
0022000399,1610612740,New Orleans,Pelicans,NOP,pelicans,1629627,Zion,Williamson,Z. Williamson,zion-williamson,F,,1,15:31,79.4,0,16,2,3,1,2,0,6,11,0.545,4,7,0.571
0022000399,1610612740,New Orleans,Pelicans,NOP,pelicans,203500,Steven,Adams,S. Adams,steven-adams,C,,12,7:56,40.3,0,36,0,3,2,0,0,13,18,0.722,8,11,0.727
0022000399,1610612740,New Orleans,Pelicans,NOP,pelicans,202339,Eric,Bledsoe,E. Bledsoe,eric-bledsoe,G,,5,13:45,66.3,0,8,4,5,0,1,0,2,4,0.5,0,1,0.0
0022000399,1610612740,New Orleans,Pelicans,NOP,pelicans,1628366,Lonzo,Ball,L. Ball,lonzo-ball,G,,2,13:60,65.5,0,16,6,6,3,0,1,5,8,0.625,3,3,1.0
0022000399,1610612740,New Orleans,Pelicans,NOP,pelicans,1626195,Willy,Hernangomez,W. Hernangomez,willy-hernangomez,,,9,8:42,45.6,0,25,5,5,1,0,0,10,17,0.588,4,9,0.444
0022000399,1610612740,New Orleans,Pelicans,NOP,pelicans,1628404,Josh,Hart,J. Hart,josh-hart,,,3,12:16,61.6,0,24,5,6,0,1,0,10,17,0.588,2,5,0.4
0022000399,1610612740,New Orleans,Pelicans,NOP,pelicans,1630184,Kira,Lewis Jr.,K. Lewis Jr.,kira-lewis-jr,,,13,6:20,35.2,0,5,2,1,0,0,0,1,4,0.25,1,2,0.5
0022000399,1610612740,New Orleans,Pelicans,NOP,pelicans,200755,JJ,Redick,J. Redick,jj-redick,,,4,5:26,31.0,0,4,1,5,0,0,2,2,7,0.286,0,2,0.0
0022000399,1610612742,Dallas,Mavericks,DAL,mavericks,1627827,Dorian,Finney-Smith,D. Finney-Smith,dorian-finney-smith,F,,10,12:28,69.1,0,21,4,3,2,1,0,9,16,0.563,3,6,0.5
0022000399,1610612742,Dallas,Mavericks,DAL,mavericks,1628467,Maxi,Kleber,M. Kleber,maxi-kleber,F,,42,13:08,76.9,0,28,6,7,2,1,0,13,20,0.65,2,5,0.4
0022000399,1610612742,Dallas,Mavericks,DAL,mavericks,204001,Kristaps,Porziņģis,K. Porziņģis,kristaps-porziņģis,C,,6,11:42,64.0,0,17,4,4,0,0,1,6,16,0.375,0,2,0.0
0022000399,1610612742,Dallas,Mavericks,DAL,mavericks,1626196,Josh,Richardson,J. Richardson,josh-richardson,G,,0,11:29,65.1,0,18,2,3,1,0,0,6,9,0.667,4,6,0.667
0022000399,1610612742,Dallas,Mavericks,DAL,mavericks,1629029,Luka,Dončić,L. Dončić,luka-dončić,G,,77,14:27,82.5,0,18,7,7,1,1,1,7,16,0.438,2,7,0.286
0022000399,1610612742,Dallas,Mavericks,DAL,mavericks,203501,Tim,Hardaway Jr.,T. Hardaway Jr.,tim-hardaway-jr,,,11,8:15,42.0,0,15,0,4,1,0,0,6,10,0.6,3,7,0.429
0022000399,1610612742,Dallas,Mavericks,DAL,mavericks,1628973,Jalen,Brunson,J. Brunson,jalen-brunson,,,13,8:36,44.7,0,9,6,2,1,0,0,3,6,0.5,3,4,0.75
0022000399,1610612742,Dallas,Mavericks,DAL,mavericks,1626161,Willie,Cauley-Stein,W. Cauley-Stein,willie-cauley-stein,,,33,5:10,28.1,0,6,3,2,0,0,0,3,8,0.375,0,2,0.0
0022000399,1610612742,Dallas,Mavericks,DAL,mavericks,203504,Trey,Burke,T. Burke,trey-burke,,,3,2:05,11.0,0,0,0,0,1,1,0,0,0,0.0,0,0,0.0
0022000399,1610612742,Dallas,Mavericks,DAL,mavericks,203939,Dwight,Powell,D. Powell,dwight-powell,,,7,0:20,2.0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0
