GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT,GAME_ID_CLEAN
0022400426,1610612744,Warriors,GSW,Golden State,240:00,18.53,39,42,78,455,2,0,323,24,15,36,0.417,20,59,0.339,0.368,19,26,0.731,0022400426
0022400426,1610612746,Clippers,LAC,LA,240:00,17.13,12,67,79,383,3,0,269,19,23,32,0.719,17,43,0.395,0.533,20,29,0.69,0022400426
