gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,matchupMinutes,partialPossessions,switchesOn,playerPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,blocks,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage
0021800722,1610612748,Miami,Heat,MIA,heat,1626196,Josh,Richardson,J. Richardson,josh-richardson,F,,0,15:26,69.1,0,12,0,5,1,0,0,5,15,0.333,2,8,0.25
0021800722,1610612748,Miami,Heat,MIA,heat,201949,James,Johnson,J. Johnson,james-johnson,F,,16,10:19,45.1,0,12,2,3,2,1,1,4,7,0.571,2,4,0.5
0021800722,1610612748,Miami,Heat,MIA,heat,202355,Hassan,Whiteside,H. Whiteside,hassan-whiteside,C,,21,9:57,42.5,0,21,9,0,1,1,1,9,18,0.5,1,2,0.5
0021800722,1610612748,Miami,Heat,MIA,heat,204020,Tyler,Johnson,T. Johnson,tyler-johnson,G,,8,12:59,57.0,0,4,2,3,2,2,0,1,6,0.167,0,3,0.0
0021800722,1610612748,Miami,Heat,MIA,heat,1626159,Justise,Winslow,J. Winslow,justise-winslow,G,,20,15:05,67.1,0,21,7,5,0,0,1,8,16,0.5,3,5,0.6
0021800722,1610612748,Miami,Heat,MIA,heat,2548,Dwyane,Wade,D. Wade,dwyane-wade,,,3,11:15,52.1,0,10,5,1,2,0,0,4,6,0.667,2,3,0.667
0021800722,1610612748,Miami,Heat,MIA,heat,203585,Rodney,McGruder,R. McGruder,rodney-mcgruder,,,17,4:21,18.0,0,2,0,1,0,0,0,1,5,0.2,0,0,0.0
0021800722,1610612748,Miami,Heat,MIA,heat,1628389,Bam,Adebayo,B. Adebayo,bam-adebayo,,,13,10:12,47.5,0,10,5,1,1,2,0,4,10,0.4,0,1,0.0
0021800722,1610612748,Miami,Heat,MIA,heat,1627884,Derrick,Jones Jr.,D. Jones Jr.,derrick-jones-jr,,,5,9:28,42.9,0,3,6,5,1,0,1,1,9,0.111,1,4,0.25
0021800722,1610612748,Miami,Heat,MIA,heat,203482,Kelly,Olynyk,K. Olynyk,kelly-olynyk,,,9,1:46,9.0,0,4,0,0,0,0,0,2,3,0.667,0,1,0.0
0021800722,1610612739,Cleveland,Cavaliers,CLE,cavaliers,203918,Rodney,Hood,R. Hood,rodney-hood,F,,1,11:17,56.7,0,4,3,1,2,0,0,1,4,0.25,0,1,0.0
0021800722,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1626224,Cedi,Osman,C. Osman,cedi-osman,F,,16,15:05,76.8,0,23,2,1,1,2,0,9,17,0.529,3,5,0.6
0021800722,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1627790,Ante,Zizic,A. Zizic,ante-zizic,C,,41,10:05,54.4,0,19,7,3,2,1,1,8,16,0.5,0,2,0.0
0021800722,1610612739,Cleveland,Cavaliers,CLE,cavaliers,202692,Alec,Burks,A. Burks,alec-burks,G,,10,10:51,58.3,0,28,6,3,1,1,0,12,14,0.857,3,3,1.0
0021800722,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1629012,Collin,Sexton,C. Sexton,collin-sexton,G,,2,9:54,54.0,0,9,2,4,4,0,0,4,10,0.4,1,5,0.2
0021800722,1610612739,Cleveland,Cavaliers,CLE,cavaliers,203903,Jordan,Clarkson,J. Clarkson,jordan-clarkson,,,8,11:02,50.8,0,5,4,2,4,2,0,2,5,0.4,1,1,1.0
0021800722,1610612739,Cleveland,Cavaliers,CLE,cavaliers,203521,Matthew,Dellavedova,M. Dellavedova,matthew-dellavedova,,,18,8:53,38.0,0,7,2,3,0,0,0,2,6,0.333,1,3,0.333
0021800722,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1626204,Larry,Nance Jr.,L. Nance Jr.,larry-nance-jr,,,22,8:42,37.7,0,6,4,1,2,1,1,2,9,0.222,0,0,0.0
0021800722,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1629061,Deng,Adel,D. Adel,deng-adel,,,32,6:34,28.0,0,6,2,0,0,1,0,3,7,0.429,0,3,0.0
0021800722,1610612739,Cleveland,Cavaliers,CLE,cavaliers,1628417,Jaron,Blossomgame,J. Blossomgame,jaron-blossomgame,,,4,1:31,5.2,0,4,1,1,0,0,0,2,3,0.667,0,1,0.0
