GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022300022,1610612740,Pelicans,NOP,New Orleans,240.000000:00,49,94,0.521,14,38,0.368,19,26,0.731,12,30,42,33,17,6,12,20,131,21.0
0022300022,1610612742,Mavericks,DAL,Dallas,240.000000:00,38,90,0.422,14,42,0.333,20,26,0.769,16,29,45,25,4,3,20,16,110,-21.0
