GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,teamSlug,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021801131,1610612737,Atlanta,Hawks,ATL,hawks,240:00,38,94,0.404,9,38,0.237,13,14,0.929,8,33,41,20,5,7,10,22,98,-20.0
0021801131,1610612757,Portland,Trail Blazers,POR,blazers,240:00,45,96,0.469,9,32,0.281,19,22,0.864,10,45,55,19,4,4,9,9,118,20.0
