gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,matchupMinutes,partialPossessions,switchesOn,playerPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,blocks,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage
0021700327,1610612746,LA,Clippers,LAC,clippers,202325,Wesley,Johnson,W. Johnson,wesley-johnson,F,,33,12:37,49.2,0,12,2,3,0,1,1,5,11,0.455,2,4,0.5
0021700327,1610612746,LA,Clippers,LAC,clippers,1626149,Montrezl,Harrell,M. Harrell,montrezl-harrell,F,,5,11:04,48.0,0,13,4,1,2,1,1,5,11,0.455,3,4,0.75
0021700327,1610612746,LA,Clippers,LAC,clippers,201599,DeAndre,Jordan,D. Jordan,deandre-jordan,C,,6,13:59,52.8,0,9,12,4,2,0,2,4,11,0.364,1,2,0.5
0021700327,1610612746,LA,Clippers,LAC,clippers,101150,Lou,Williams,L. Williams,lou-williams,G,,23,14:59,56.4,0,13,0,5,0,0,0,5,14,0.357,3,10,0.3
0021700327,1610612746,LA,Clippers,LAC,clippers,203085,Austin,Rivers,A. Rivers,austin-rivers,G,,25,12:56,51.1,0,11,2,5,0,0,2,5,11,0.455,1,3,0.333
0021700327,1610612746,LA,Clippers,LAC,clippers,1626155,Sam,Dekker,S. Dekker,sam-dekker,,,7,6:03,24.0,0,3,2,2,0,0,0,1,4,0.25,1,4,0.25
0021700327,1610612746,LA,Clippers,LAC,clippers,1628393,Jawun,Evans,J. Evans,jawun-evans,,,1,7:55,38.6,0,9,3,1,1,0,0,4,6,0.667,1,2,0.5
0021700327,1610612746,LA,Clippers,LAC,clippers,203710,C.J.,Williams,C. Williams,cj-williams,,,9,10:14,43.0,0,8,1,4,2,1,0,3,4,0.75,2,2,1.0
0021700327,1610612746,LA,Clippers,LAC,clippers,1628414,Sindarius,Thornwell,S. Thornwell,sindarius-thornwell,,,0,6:48,32.0,0,5,0,0,4,1,0,2,4,0.5,1,2,0.5
0021700327,1610612746,LA,Clippers,LAC,clippers,203966,Jamil,Wilson,J. Wilson,jamil-wilson,,,13,6:39,25.9,0,9,0,0,1,0,0,4,6,0.667,1,1,1.0
0021700327,1610612746,LA,Clippers,LAC,clippers,203186,Willie,Reed,W. Reed,willie-reed,,,35,2:23,12.0,0,5,0,0,0,1,0,2,3,0.667,1,1,1.0
0021700327,1610612746,LA,Clippers,LAC,clippers,1627744,Brice,Johnson,B. Johnson,brice-johnson,,,11,2:31,12.0,0,2,1,0,2,3,0,1,4,0.25,0,3,0.0
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,203084,Harrison,Barnes,H. Barnes,harrison-barnes,F,,40,11:01,51.1,0,0,8,2,1,0,0,0,8,0.0,0,3,0.0
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,1628467,Maxi,Kleber,M. Kleber,maxi-kleber,F,,42,8:25,40.4,0,17,4,1,1,0,0,7,12,0.583,3,5,0.6
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,1717,Dirk,Nowitzki,D. Nowitzki,dirk-nowitzki,C,,41,10:13,44.3,0,14,3,0,3,1,1,7,14,0.5,0,1,0.0
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,202083,Wesley,Matthews,W. Matthews,wesley-matthews,G,,23,9:18,42.3,0,6,1,0,0,0,1,3,7,0.429,0,1,0.0
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,1628372,Dennis,Smith Jr.,D. Smith Jr.,dennis-smith-jr,G,,1,9:52,43.3,0,3,4,2,0,0,1,1,6,0.167,1,3,0.333
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,1627812,Yogi,Ferrell,Y. Ferrell,yogi-ferrell,,,11,8:37,43.9,0,6,4,1,1,1,0,3,12,0.25,0,2,0.0
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,1626257,Salah,Mejri,S. Mejri,salah-mejri,,,50,5:17,26.0,0,13,1,0,0,0,2,6,9,0.667,1,1,1.0
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,2734,Devin,Harris,D. Harris,devin-harris,,,34,7:51,37.2,0,2,3,4,2,1,0,1,6,0.167,0,3,0.0
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,200826,J.J.,Barea,J. Barea,jj-barea,,,5,9:16,42.7,0,11,4,3,2,0,0,5,11,0.455,1,2,0.5
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,203939,Dwight,Powell,D. Powell,dwight-powell,,,7,8:34,42.1,0,2,5,1,0,1,1,1,8,0.125,0,0,0.0
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,1628499,Antonius,Cleveland,A. Cleveland,antonius-cleveland,,,44,2:43,17.4,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0
0021700327,1610612742,Dallas,Mavericks,DAL,mavericks,203481,Jeff,Withey,J. Withey,jeff-withey,,,17,2:06,14.0,0,0,1,2,0,0,1,0,3,0.0,0,1,0.0
