GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,teamSlug,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021800101,1610612745,Houston,Rockets,HOU,rockets,240:00,31,96,0.323,10,43,0.233,13,23,0.565,20,29,49,18,7,9,11,25,85,-19.0
0021800101,1610612757,Portland,Trail Blazers,POR,blazers,240:00,38,80,0.475,8,20,0.4,20,23,0.87,7,44,51,17,4,4,17,19,104,19.0
