GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,teamSlug,PLAYER_ID,firstName,familyName,NICKNAME,playerSlug,position,comment,jerseyNum,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,PLAYER_NAME
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,200746,LaMarcus,Aldridge,L. Aldridge,lamarcus-aldridge,F,,,41:40,118.6,118.6,115.7,115.7,2.9,2.9,0.065,1.0,6.5,0.157,0.244,0.198,6.5,0.304,0.383,0.269,0.269,97.36,97.36,81.14,86.0,0.112,LaMarcus Aldridge
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,1627751,Jakob,Poeltl,J. Poeltl,jakob-poeltl,C,,,7:52,126.7,126.7,113.3,113.3,13.3,13.3,0.4,0.0,33.3,0.333,0.0,0.235,0.0,0.5,0.5,0.2,0.2,91.53,91.53,76.27,15.0,0.102,Jakob Poeltl
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,201942,DeMar,DeRozan,D. DeRozan,demar-derozan,G,,,38:11,122.4,122.4,114.7,114.7,7.7,7.7,0.167,1.33,12.1,0.0,0.103,0.046,9.1,0.5,0.542,0.293,0.293,94.91,94.91,79.09,76.0,0.11,DeMar DeRozan
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,1627854,Bryn,Forbes,B. Forbes,bryn-forbes,G,,,30:02,109.4,109.4,109.7,109.7,-0.3,-0.3,0.087,1.0,13.3,0.029,0.071,0.048,13.3,0.45,0.506,0.163,0.163,100.69,100.69,83.91,64.0,0.042,Bryn Forbes
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,2200,Pau,Gasol,P. Gasol,pau-gasol,,,,22:40,100.0,100.0,106.4,106.4,-6.4,-6.4,0.375,6.0,50.0,0.143,0.174,0.159,8.3,0.375,0.512,0.113,0.113,100.57,100.57,83.81,48.0,0.138,Pau Gasol
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,201988,Patty,Mills,P. Mills,patty-mills,,,,29:53,117.5,117.5,117.7,117.7,-0.3,-0.3,0.043,1.0,11.1,0.0,0.061,0.029,11.1,0.429,0.429,0.104,0.104,100.39,100.39,83.66,63.0,0.008,Patty Mills
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,201158,Marco,Belinelli,M. Belinelli,marco-belinelli,,,,21:47,106.7,106.7,100.0,100.0,6.7,6.7,0.154,2.0,20.0,0.0,0.121,0.071,10.0,0.667,0.727,0.157,0.157,99.16,99.16,82.63,45.0,0.164,Marco Belinelli
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,201967,Dante,Cunningham,D. Cunningham,dante-cunningham,,,,6:36,58.8,58.8,93.3,93.3,-34.5,-34.5,0.5,1.0,25.0,0.0,0.111,0.071,25.0,0.0,0.0,0.167,0.167,116.28,116.28,96.9,17.0,-0.121,Dante Cunningham
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,202722,Davis,Bertans,D. Bertans,davis-bertans,,,,17:50,116.2,116.2,111.1,111.1,5.1,5.1,0.167,0.0,33.3,0.0,0.043,0.022,0.0,1.125,1.125,0.08,0.08,98.24,98.24,81.87,37.0,0.177,Davis Bertans
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,1629234,Drew,Eubanks,D. Eubanks,drew-eubanks,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drew Eubanks
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,1629002,Chimezie,Metu,C. Metu,chimezie-metu,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chimezie Metu
0021800010,1610612759,San Antonio,Spurs,SAS,spurs,202347,Quincy,Pondexter,Q. Pondexter,quincy-pondexter,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quincy Pondexter
