GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0022100396,1610612755,76ers,PHI,Philadelphia,240.000000:00,106.9,109.7,97.0,98.9,9.9,10.7,0.543,1.46,15.9,0.19,0.722,0.49,13.621,14.0,0.52,0.583,1.0,0.195,95.68,93.5,77.92,93,0.595
0022100396,1610612744,Warriors,GSW,Golden State,240.000000:00,97.0,98.9,106.9,109.7,-9.9,-10.7,0.618,1.62,16.5,0.278,0.81,0.51,13.553,13.8,0.471,0.5,1.0,0.2,95.68,93.5,77.92,94,0.405
