GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,teamSlug,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021701196,1610612759,San Antonio,Spurs,SAS,spurs,240:00,47,84,0.56,7,21,0.333,15,21,0.714,4,32,36,21,12,3,7,12,116,11.0
0021701196,1610612757,Portland,Trail Blazers,POR,blazers,240:00,42,88,0.477,11,28,0.393,10,11,0.909,11,29,40,18,4,5,13,17,105,-11.0
