GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022300249,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,43,81,0.531,15,34,0.441,18,23,0.783,6,36,42,30,5,5,14,26,119,22.0
0022300249,1610612763,Grizzlies,MEM,Memphis,240.000000:00,34,88,0.386,10,37,0.27,19,27,0.704,11,24,35,24,4,4,13,18,97,-22.0
