GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT,GAME_ID_CLEAN
0022400467,1610612755,PHI,Philadelphia,202331,Paul George,F,,32:10,4.19,2.38,0,3,3,58,0,1,43,0,1,3,0.333,6,9,0.667,0.582,3,3,1.0,0022400467
0022400467,1610612755,PHI,Philadelphia,1628997,Caleb Martin,F,,21:42,4.96,1.92,2,1,3,28,0,0,21,2,0,2,0.0,1,3,0.333,0.2,1,2,0.5,0022400467
0022400467,1610612755,PHI,Philadelphia,203954,Joel Embiid,C,,30:58,3.69,2.05,5,13,18,61,0,1,32,2,5,9,0.556,3,10,0.3,0.42,6,8,0.75,0022400467
0022400467,1610612755,PHI,Philadelphia,200768,Kyle Lowry,G,,9:36,4.4,0.75,1,1,2,11,0,0,8,0,0,1,0.0,0,1,0.0,0.0,2,3,0.667,0022400467
0022400467,1610612755,PHI,Philadelphia,1630178,Tyrese Maxey,G,,32:04,4.3,2.46,0,3,3,63,0,0,42,6,1,3,0.333,3,10,0.3,0.307,0,1,0.0,0022400467
0022400467,1610612755,PHI,Philadelphia,1627824,Guerschon Yabusele,,,31:26,4.24,2.38,5,5,9,50,0,0,40,2,3,4,0.75,1,2,0.5,0.667,5,6,0.833,0022400467
0022400467,1610612755,PHI,Philadelphia,202704,Reggie Jackson,,,7:30,4.35,0.58,0,1,1,14,0,0,11,1,0,0,0.0,1,3,0.333,0.333,0,0,0.0,0022400467
0022400467,1610612755,PHI,Philadelphia,1641741,Ricky Council IV,,,26:48,4.4,2.1,3,1,4,30,0,0,20,1,2,3,0.667,2,5,0.4,0.5,0,0,0.0,0022400467
0022400467,1610612755,PHI,Philadelphia,1630288,Jeff Dowtin Jr.,,,15:07,4.11,1.11,2,1,3,27,0,0,19,2,1,3,0.333,1,2,0.5,0.4,1,1,1.0,0022400467
0022400467,1610612755,PHI,Philadelphia,201569,Eric Gordon,,,14:18,3.94,1.01,0,2,2,12,1,0,9,0,0,0,0.0,1,2,0.5,0.5,0,0,0.0,0022400467
0022400467,1610612755,PHI,Philadelphia,1642348,Justin Edwards,,,9:11,4.62,0.76,0,0,0,17,1,0,10,1,1,1,1.0,1,4,0.25,0.4,1,1,1.0,0022400467
0022400467,1610612755,PHI,Philadelphia,1641737,Adem Bona,,,9:11,4.4,0.72,1,4,5,16,0,0,14,0,0,1,0.0,0,0,0.0,0.0,1,2,0.5,0022400467
0022400467,1610612744,GSW,Golden State,203952,Andrew Wiggins,F,,26:05,4.32,2.0,3,6,9,45,0,1,30,4,5,6,0.833,1,5,0.2,0.545,0,1,0.0,0022400467
0022400467,1610612744,GSW,Golden State,203110,Draymond Green,F,,30:35,3.99,2.15,0,8,8,63,1,0,49,7,3,3,1.0,3,7,0.429,0.599,2,5,0.4,0022400467
0022400467,1610612744,GSW,Golden State,1631218,Trayce Jackson-Davis,C,,20:59,4.22,1.61,2,4,6,43,1,0,36,3,1,5,0.2,0,0,0.0,0.2,0,1,0.0,0022400467
0022400467,1610612744,GSW,Golden State,203471,Dennis Schröder,G,,25:19,4.4,2.01,2,3,5,63,1,0,53,6,0,3,0.0,5,6,0.833,0.556,1,2,0.5,0022400467
0022400467,1610612744,GSW,Golden State,201939,Stephen Curry,G,,29:49,4.17,2.19,1,6,7,67,1,0,45,10,2,4,0.5,9,11,0.818,0.732,0,0,0.0,0022400467
0022400467,1610612744,GSW,Golden State,1627741,Buddy Hield,,,20:41,4.74,1.74,0,3,3,22,0,0,16,1,0,0,0.0,1,5,0.2,0.2,2,3,0.667,0022400467
0022400467,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,,,25:23,4.48,2.02,2,6,7,53,0,1,39,5,2,2,1.0,6,9,0.667,0.726,3,5,0.6,0022400467
0022400467,1610612744,GSW,Golden State,1630541,Moses Moody,,,15:26,4.32,1.19,1,5,5,13,0,0,7,0,0,0,0.0,4,5,0.8,0.8,1,1,1.0,0022400467
0022400467,1610612744,GSW,Golden State,1630322,Lindy Waters III,,,15:40,4.53,1.25,1,4,5,26,0,1,18,1,0,1,0.0,4,6,0.667,0.57,1,2,0.5,0022400467
0022400467,1610612744,GSW,Golden State,203937,Kyle Anderson,,,7:31,4.14,0.56,1,2,2,14,1,0,7,0,2,2,1.0,1,1,1.0,1.0,0,0,0.0,0022400467
0022400467,1610612744,GSW,Golden State,1626172,Kevon Looney,,,7:31,4.13,0.56,0,2,2,13,0,0,9,1,2,2,1.0,1,1,1.0,1.0,1,1,1.0,0022400467
0022400467,1610612744,GSW,Golden State,1630311,Pat Spencer,,,7:31,4.63,0.62,1,3,4,15,0,0,14,2,0,1,0.0,0,0,0.0,0.0,1,1,1.0,0022400467
0022400467,1610612744,GSW,Golden State,1630611,Gui Santos,,,7:31,4.82,0.65,0,1,1,11,0,0,9,1,1,1,1.0,0,1,0.0,0.5,0,0,0.0,0022400467
