GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT,GAME_ID_CLEAN
0021800395,1610612749,Bucks,MIL,Milwaukee,240:00,17.92,26,83,106,391,1,1,267,22,19,45,0.422,23,51,0.451,0.438,12,20,0.6,0021800395
0021800395,1610612739,Cavaliers,CLE,Cleveland,240:00,18.0,29,65,92,405,3,0,283,24,15,36,0.417,21,60,0.35,0.375,18,33,0.545,0021800395
