gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0021900821,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:41 PM EST),period,start,0,0,1
0021900821,4,PT12M00.00S,1,1610612737,ATL,203473,Dedmon,D. Dedmon,0,0,0,,0,,,0,h,Jump Ball Dedmon vs. Adebayo: Tip to Young,Jump Ball,,1,0,2
0021900821,7,PT11M33.00S,1,1610612737,ATL,1629631,Hunter,D. Hunter,0,18,2,Made,1,2,0,2,h,Hunter 2' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,1,2,3
0021900821,8,PT11M11.00S,1,1610612748,MIA,1629134,Nunn,K. Nunn,6,13,1,Made,1,2,2,4,v,Nunn 1' Driving Layup (2 PTS) (Adebayo 1 AST),Made Shot,Driving Layup Shot,1,2,4
0021900821,9,PT10M55.00S,1,1610612737,ATL,1629631,Hunter,D. Hunter,-46,54,7,Missed,1,,,0,h,MISS Hunter 7' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,5
0021900821,10,PT10M55.00S,1,0,,1610612748,,,0,0,0,,0,,,0,v,Heat Rebound,Rebound,Unknown,0,0,6
0021900821,12,PT10M37.00S,1,1610612748,MIA,1629130,Robinson,D. Robinson,-60,247,25,Missed,1,,,0,v,MISS Robinson 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,7
0021900821,13,PT10M33.00S,1,1610612737,ATL,1629027,Young,T. Young,0,0,0,,0,,,0,h,Young REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,8
0021900821,14,PT10M28.00S,1,1610612737,ATL,1629027,Young,T. Young,-138,209,25,Missed,1,,,0,h,MISS Young 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,9
0021900821,15,PT10M25.00S,1,1610612748,MIA,202710,Butler III,J. Butler III,0,0,0,,0,,,0,v,Butler REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,10
0021900821,16,PT10M17.00S,1,1610612737,ATL,1629631,Hunter,D. Hunter,0,0,0,,0,,,0,h,Hunter S.FOUL (P1.T1) (C.Kirkland),Foul,Shooting,1,0,11
0021900821,18,PT10M17.00S,1,1610612748,MIA,202710,Butler III,J. Butler III,0,0,0,,0,2,3,5,v,Butler Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,12
0021900821,19,PT10M17.00S,1,1610612748,MIA,202710,Butler III,J. Butler III,0,0,0,,0,,,0,v,MISS Butler Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,1,0,13
0021900821,20,PT10M13.00S,1,1610612737,ATL,203473,Dedmon,D. Dedmon,0,0,0,,0,,,0,h,Dedmon REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,14
0021900821,21,PT10M01.00S,1,1610612737,ATL,1628989,Huerter,K. Huerter,44,86,10,Missed,1,,,0,h,MISS Huerter 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,15
0021900821,22,PT09M55.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,0,0,0,,0,,,0,v,Adebayo REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,16
0021900821,23,PT09M55.00S,1,1610612737,ATL,1629631,Hunter,D. Hunter,0,0,0,,0,,,0,h,Hunter S.FOUL (P2.T2) (D.Richardson),Foul,Shooting,1,0,17
0021900821,25,PT09M55.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,0,0,0,,0,2,4,6,v,Adebayo Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,18
0021900821,26,PT09M55.00S,1,1610612737,ATL,1629631,Hunter,D. Hunter,0,0,0,,0,,,0,h,SUB: Reddish FOR Hunter,Substitution,,0,0,19
0021900821,28,PT09M55.00S,1,1610612748,MIA,1628389,Adebayo,B. Adebayo,0,0,0,,0,2,5,7,v,Adebayo Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,20
0021900821,29,PT09M46.00S,1,1610612737,ATL,1629027,Young,T. Young,0,0,0,,0,,,0,h,Young Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,1,0,21
0021900821,30,PT09M37.00S,1,1610612748,MIA,1629134,Nunn,K. Nunn,-43,252,26,Made,1,2,8,10,v,Nunn 26' 3PT Jump Shot (5 PTS) (Adebayo 2 AST),Made Shot,Jump Shot,1,3,22
0021900821,32,PT09M25.00S,1,1610612748,MIA,203109,Crowder,J. Crowder,0,0,0,,0,,,0,v,Crowder S.FOUL (P1.T1) (D.Richardson),Foul,Shooting,1,0,23
0021900821,34,PT09M25.00S,1,1610612737,ATL,1629027,Young,T. Young,0,0,0,,0,3,8,11,h,Young Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,24
0021900821,36,PT09M25.00S,1,1610612737,ATL,1629027,Young,T. Young,0,0,0,,0,4,8,12,h,Young Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,25
