gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0021701218,86,PT04M42.00S,1,1610612747,LAL,203944,Randle,J. Randle,0,0,0,,0,,,0,h,Randle REBOUND (Off:2 Def:2),Rebound,Unknown,1,0,68
0021701218,87,PT04M39.00S,1,1610612747,LAL,203944,Randle,J. Randle,-3,22,2,Made,1,11,12,23,h,Randle 2' Putback Dunk (6 PTS),Made Shot,Putback Dunk Shot,1,2,69
0021701218,88,PT04M27.00S,1,1610612745,HOU,201569,Gordon,E. Gordon,-187,174,26,Missed,1,,,0,v,MISS Gordon 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,70
0021701218,89,PT04M23.00S,1,1610612745,HOU,201569,Gordon,E. Gordon,0,0,0,,0,,,0,v,Gordon REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,71
0021701218,90,PT04M21.00S,1,1610612745,HOU,201569,Gordon,E. Gordon,-137,227,27,Made,1,11,15,26,v,Gordon 27' 3PT Jump Shot (3 PTS),Made Shot,Jump Shot,1,3,72
0021701218,91,PT04M10.00S,1,1610612747,LAL,203944,Randle,J. Randle,66,257,27,Missed,1,,,0,h,MISS Randle 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,73
0021701218,92,PT04M07.00S,1,1610612745,HOU,201935,Harden,J. Harden,0,0,0,,0,,,0,v,Harden REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,74
0021701218,93,PT03M50.00S,1,1610612745,HOU,203991,Capela,C. Capela,-12,6,1,Made,1,11,17,28,v,Capela 1' Alley Oop Dunk (4 PTS) (Harden 1 AST),Made Shot,Alley Oop Dunk Shot,1,2,75
0021701218,95,PT03M37.00S,1,1610612747,LAL,203484,Caldwell-Pope,K. Caldwell-Pope,62,252,26,Missed,1,,,0,h,MISS Caldwell-Pope 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,76
0021701218,96,PT03M32.00S,1,1610612747,LAL,1627780,Payton II,G. Payton II,0,0,0,,0,,,0,h,Payton II REBOUND (Off:2 Def:0),Rebound,Unknown,1,0,77
0021701218,97,PT03M31.00S,1,1610612747,LAL,201572,Lopez,B. Lopez,-134,203,24,Made,1,14,17,31,h,Lopez 24' 3PT Jump Shot (8 PTS) (Payton II 1 AST),Made Shot,Jump Shot,1,3,78
0021701218,99,PT03M14.00S,1,1610612745,HOU,201935,Harden,J. Harden,-12,22,3,Missed,1,,,0,v,MISS Harden 3' Driving Layup,Missed Shot,Driving Layup Shot,1,2,79
0021701218,100,PT03M12.00S,1,1610612747,LAL,203944,Randle,J. Randle,0,0,0,,0,,,0,h,Randle REBOUND (Off:2 Def:3),Rebound,Unknown,1,0,80
0021701218,101,PT03M07.00S,1,1610612747,LAL,203944,Randle,J. Randle,-5,24,2,Missed,1,,,0,h,MISS Randle 2' Running Layup,Missed Shot,Running Layup Shot,1,2,81
0021701218,102,PT03M04.00S,1,1610612747,LAL,203944,Randle,J. Randle,0,0,0,,0,,,0,h,Randle REBOUND (Off:3 Def:3),Rebound,Unknown,1,0,82
0021701218,103,PT03M01.00S,1,1610612747,LAL,203944,Randle,J. Randle,-3,38,4,Missed,1,,,0,h,MISS Randle 4' Layup,Missed Shot,Layup Shot,1,2,83
0021701218,103,PT03M01.00S,1,1610612745,HOU,200782,Tucker,P. Tucker,0,0,0,,0,,,0,v,Tucker BLOCK (1 BLK),,,1,2,84
0021701218,105,PT03M01.00S,1,1610612745,HOU,200782,Tucker,P. Tucker,0,0,0,,0,,,0,v,Tucker REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,85
0021701218,106,PT02M49.00S,1,1610612747,LAL,201572,Lopez,B. Lopez,0,0,0,,0,,,0,h,Lopez S.FOUL (P1.PN) (M.Davis),Foul,Shooting,1,0,86
0021701218,108,PT02M49.00S,1,0,,1610612745,,,0,0,0,,0,,,0,v,Rockets Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0,87
0021701218,109,PT02M49.00S,1,1610612747,LAL,203484,Caldwell-Pope,K. Caldwell-Pope,0,0,0,,0,,,0,h,SUB: Frye FOR Caldwell-Pope,Substitution,,0,0,88
0021701218,110,PT02M49.00S,1,1610612747,LAL,201572,Lopez,B. Lopez,0,0,0,,0,,,0,h,SUB: Zubac FOR Lopez,Substitution,,0,0,89
0021701218,111,PT02M49.00S,1,1610612747,LAL,203944,Randle,J. Randle,0,0,0,,0,,,0,h,SUB: Ennis FOR Randle,Substitution,,0,0,90
0021701218,112,PT02M49.00S,1,1610612745,HOU,2772,Ariza,T. Ariza,0,0,0,,0,,,0,v,SUB: Green FOR Ariza,Substitution,,0,0,91
0021701218,113,PT02M49.00S,1,1610612745,HOU,200782,Tucker,P. Tucker,0,0,0,,0,,,0,v,SUB: Nene FOR Tucker,Substitution,,0,0,92
