game_id,game_date,matchup,player_name,impact_score
0022300032,Unknown date,Away team @ Home team,Wesley,0.0
0022300033,Unknown date,Away team @ Home team,Carter,1.9575000000000002
0022300033,Unknown date,Away team @ Home team,Williams,0.4206573839647645
0022300033,Unknown date,Away team @ Home team,Black,-0.48956989761163505
0022300034,Unknown date,Away team @ Home team,Watson,1.7284727320702662
0022300034,Unknown date,Away team @ Home team,Pickett,0.10144387660858323
0022300034,Unknown date,Away team @ Home team,Nnaji,-2.049909665763324
0022300035,Unknown date,Away team @ Home team,Goodwin,6.537011933152185
0022300035,Unknown date,Away team @ Home team,Watanabe,6.287178969410706
0022300035,Unknown date,Away team @ Home team,Okogie,-2.2613065326582138e-05
0022300036,Unknown date,Away team @ Home team,Reath,2.7920109408357794
0022300036,Unknown date,Away team @ Home team,Reaves,2.6126606412716575
0022300036,Unknown date,Away team @ Home team,Christie,0.41310559006211234
0022300037,Unknown date,Away team @ Home team,Westbrook,7.964386066244068
0022300037,Unknown date,Away team @ Home team,Landale,5.892702466641915
0022300037,Unknown date,Away team @ Home team,Tucker,0.0
0022300038,Unknown date,Away team @ Home team,Houstan,4.697012867647059
0022300038,Unknown date,Away team @ Home team,McDaniels,4.14633354501944
0022300038,Unknown date,Away team @ Home team,Trent Jr.,3.0280645161290325
0022300039,Unknown date,Away team @ Home team,Sheppard,8.390141208905657
0022300039,Unknown date,Away team @ Home team,Matthews,2.89327617841776
0022300039,Unknown date,Away team @ Home team,McConnell,2.203486529318542
0022300040,Unknown date,Away team @ Home team,House Jr.,5.09310984085345
0022300040,Unknown date,Away team @ Home team,Springer,0.20053632310516678
0022300040,Unknown date,Away team @ Home team,Merrill,0.0
0022300041,Unknown date,Away team @ Home team,Eubanks,1.9968759910550828
0022300041,Unknown date,Away team @ Home team,Bates-Diop,0.9104651162790698
0022300041,Unknown date,Away team @ Home team,Bouyea,0.07700267022697016
0022300042,Unknown date,Away team @ Home team,Prince,3.4162132197776556
0022300042,Unknown date,Away team @ Home team,Agbaji,2.69997552997106
0022300042,Unknown date,Away team @ Home team,Reddish,0.0
0022300043,Unknown date,Away team @ Home team,Black,0.09929087214078791
0022300043,Unknown date,Away team @ Home team,Brissett,0.0
0022300043,Unknown date,Away team @ Home team,Banton,0.0
0022300044,Unknown date,Away team @ Home team,Lofton Jr.,2.473619631901841
0022300044,Unknown date,Away team @ Home team,Williams,0.0
0022300044,Unknown date,Away team @ Home team,Jackson,-0.08507518796992475
0022300045,Unknown date,Away team @ Home team,Highsmith,7.1403992777132785
0022300045,Unknown date,Away team @ Home team,DiVincenzo,4.761106767070869
0022300045,Unknown date,Away team @ Home team,Swider,0.0
0022300046,Unknown date,Away team @ Home team,Flynn,1.2258754824989024
