gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,matchupMinutes,partialPossessions,switchesOn,playerPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,blocks,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage
0022500504,1610612737,Atlanta,Hawks,ATL,hawks,1642258,Zaccharie,Risacher,Z. Risacher,zaccharie-risacher,F,,10,9:20,48.9,0,19,4,1,1,1,0,8,13,0.615,1,3,0.333
0022500504,1610612737,Atlanta,Hawks,ATL,hawks,1630552,Jalen,Johnson,J. Johnson,jalen-johnson,F,,1,15:27,78.0,0,12,11,3,0,1,1,6,14,0.429,0,3,0.0
0022500504,1610612737,Atlanta,Hawks,ATL,hawks,1630168,Onyeka,Okongwu,O. Okongwu,onyeka-okongwu,C,,17,14:23,77.9,0,16,8,11,3,4,0,7,9,0.778,1,2,0.5
0022500504,1610612737,Atlanta,Hawks,ATL,hawks,1630700,Dyson,Daniels,D. Daniels,dyson-daniels,G,,5,16:34,81.9,0,27,5,9,1,0,0,10,21,0.476,5,13,0.385
0022500504,1610612737,Atlanta,Hawks,ATL,hawks,1629638,Nickeil,Alexander-Walker,N. Alexander-Walker,nickeil-alexander-walker,G,,7,13:34,73.1,0,15,5,5,4,0,0,7,9,0.778,1,1,1.0
0022500504,1610612737,Atlanta,Hawks,ATL,hawks,1630249,Vít,Krejčí,V. Krejčí,vít-krejčí,,,27,11:01,58.0,0,23,2,1,2,3,0,9,10,0.9,2,3,0.667
0022500504,1610612737,Atlanta,Hawks,ATL,hawks,1628379,Luke,Kennard,L. Kennard,luke-kennard,,,3,8:04,46.8,0,2,0,2,1,2,0,1,7,0.143,0,5,0.0
0022500504,1610612737,Atlanta,Hawks,ATL,hawks,204001,Kristaps,Porziņģis,K. Porziņģis,kristaps-porziņģis,,,8,7:47,43.0,0,7,1,3,1,0,0,3,11,0.273,1,6,0.167
0022500504,1610612737,Atlanta,Hawks,ATL,hawks,1631243,Mouhamed,Gueye,M. Gueye,mouhamed-gueye,,,18,1:25,7.0,0,0,2,1,0,0,0,0,1,0.0,0,0,0.0
0022500504,1610612761,Toronto,Raptors,TOR,raptors,1627742,Brandon,Ingram,B. Ingram,brandon-ingram,F,,3,13:06,75.1,0,13,8,4,1,1,2,5,16,0.313,2,8,0.25
0022500504,1610612761,Toronto,Raptors,TOR,raptors,1630567,Scottie,Barnes,S. Barnes,scottie-barnes,F,,4,13:25,82.9,0,10,6,5,4,0,0,4,16,0.25,0,2,0.0
0022500504,1610612761,Toronto,Raptors,TOR,raptors,1642867,Collin,Murray-Boyles,C. Murray-Boyles,collin-murray-boyles,C,,12,11:42,66.0,0,24,5,5,2,3,2,9,15,0.6,3,6,0.5
0022500504,1610612761,Toronto,Raptors,TOR,raptors,1629628,RJ,Barrett,R. Barrett,rj-barrett,G,,9,11:49,66.6,0,20,6,1,1,3,0,9,16,0.563,0,2,0.0
0022500504,1610612761,Toronto,Raptors,TOR,raptors,1630193,Immanuel,Quickley,I. Quickley,immanuel-quickley,G,,5,11:13,66.0,0,7,1,3,3,0,0,3,10,0.3,1,4,0.25
0022500504,1610612761,Toronto,Raptors,TOR,raptors,1630572,Sandro,Mamukelashvili,S. Mamukelashvili,sandro-mamukelashvili,,,54,8:46,49.0,0,13,6,2,1,0,0,5,13,0.385,3,5,0.6
0022500504,1610612761,Toronto,Raptors,TOR,raptors,1642266,Ja'Kobe,Walter,J. Walter,jakobe-walter,,,14,4:13,27.9,0,5,1,3,1,0,1,2,3,0.667,1,2,0.5
0022500504,1610612761,Toronto,Raptors,TOR,raptors,1642347,Jamal,Shead,J. Shead,jamal-shead,,,23,6:50,39.0,0,10,2,2,0,2,0,2,7,0.286,2,4,0.5
0022500504,1610612761,Toronto,Raptors,TOR,raptors,1641711,Gradey,Dick,G. Dick,gradey-dick,,,1,6:58,40.2,0,7,3,2,0,1,0,3,6,0.5,1,2,0.5
0022500504,1610612761,Toronto,Raptors,TOR,raptors,1630534,Ochai,Agbaji,O. Agbaji,ochai-agbaji,,,30,2:13,12.1,0,0,1,1,0,0,0,0,1,0.0,0,0,0.0
