GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,teamSlug,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0021701041,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,570.1,114.0,546.7,109.3,23.4,4.7,0.756,2.58,21.1,0.196,0.761,0.478,11.215,11.2,0.541,0.61,1.0,0.966,21.4,107.0,89.17,107.0,0.56
0021701041,1610612737,Atlanta,Hawks,ATL,hawks,240:00,546.7,109.3,570.1,114.0,-23.4,-4.7,0.59,1.21,16.4,0.239,0.804,0.522,17.757,17.8,0.529,0.601,1.0,0.983,21.4,107.0,89.17,107.0,0.44
