GAME_ID,GAME_DATE,MATCHUP
0022501197,2026-04-12,DEN @ SAS
0022501192,2026-04-12,BKN @ TOR
0022501200,2026-04-12,SAC @ POR
0022501196,2026-04-12,OKC vs. PHX
0022501194,2026-04-12,MEM @ HOU
0022501188,2026-04-12,IND vs. DET
0022501187,2026-04-12,WAS @ CLE
0022501199,2026-04-12,LAC vs. GSW
0022501189,2026-04-12,MIA vs. ATL
0022501195,2026-04-12,MIN vs. NOP
0022501190,2026-04-12,CHA @ NYK
0022501186,2026-04-12,ORL @ BOS
0022501193,2026-04-12,DAL vs. CHI
0022501191,2026-04-12,PHI vs. MIL
0022501198,2026-04-12,UTA @ LAL
0022501175,2026-04-10,PHI @ IND
0022501177,2026-04-10,CHI vs. ORL
0022501184,2026-04-10,SAC vs. GSW
0022501179,2026-04-10,MIL vs. BKN
0022501173,2026-04-10,CLE @ ATL
0022501172,2026-04-10,MIA @ WAS
0022501182,2026-04-10,OKC @ DEN
0022501185,2026-04-10,LAL vs. PHX
0022501180,2026-04-10,SAS vs. DAL
0022501178,2026-04-10,MIN @ HOU
0022501183,2026-04-10,LAC @ POR
0022501176,2026-04-10,NYK vs. TOR
0022501174,2026-04-10,BOS vs. NOP
0022501171,2026-04-10,DET @ CHA
0022501181,2026-04-10,UTA vs. MEM
0022501165,2026-04-09,TOR vs. MIA
0022501169,2026-04-09,PHI @ HOU
0022501167,2026-04-09,BKN vs. IND
0022501168,2026-04-09,NYK vs. BOS
0022501170,2026-04-09,GSW vs. LAL
0022501166,2026-04-09,WAS vs. CHI
0022501160,2026-04-08,DET vs. MIL
0022501158,2026-04-08,ATL @ CLE
0022501159,2026-04-08,ORL vs. MIN
0022501161,2026-04-08,SAS vs. POR
0022501162,2026-04-08,MEM @ DEN
0022501163,2026-04-08,OKC @ LAC
0022501164,2026-04-08,PHX vs. DAL
0022501153,2026-04-07,UTA @ NOP
0022501157,2026-04-07,HOU @ PHX
0022501152,2026-04-07,IND vs. MIN
0022501154,2026-04-07,GSW vs. SAC
0022501148,2026-04-07,WAS vs. CHI
0022501150,2026-04-07,BKN vs. MIL
0022501151,2026-04-07,MIA @ TOR
0022501156,2026-04-07,LAC vs. DAL
0022501149,2026-04-07,CHA @ BOS
0022501155,2026-04-07,LAL vs. OKC
0022501145,2026-04-06,CLE @ MEM
0022501146,2026-04-06,PHI @ SAS
0022501147,2026-04-06,POR @ DEN
0022501143,2026-04-06,NYK @ ATL
0022501144,2026-04-06,DET @ ORL
0022501136,2026-04-05,CLE vs. IND
0022501132,2026-04-05,TOR @ BOS
0022501140,2026-04-05,LAL @ DAL
0022501137,2026-04-05,MIN vs. CHA
0022501134,2026-04-05,CHI vs. PHX
0022501138,2026-04-05,NOP vs. ORL
0022501139,2026-04-05,UTA @ OKC
0022501141,2026-04-05,SAC vs. LAC
0022501135,2026-04-05,MEM @ MIL
0022501142,2026-04-05,GSW vs. HOU
0022501133,2026-04-05,WAS @ BKN
0022501130,2026-04-04,SAS @ DEN
0022501131,2026-04-04,DET @ PHI
0022501129,2026-04-04,WAS @ MIA
0022501122,2026-04-03,BKN vs. ATL
0022501121,2026-04-03,PHI vs. MIN
0022501126,2026-04-03,BOS @ MIL
0022501128,2026-04-03,SAC vs. NOP
0022501125,2026-04-03,MEM vs. TOR
0022501127,2026-04-03,ORL @ DAL
0022501123,2026-04-03,NYK vs. CHI
0022501120,2026-04-03,CHA vs. IND
0022501124,2026-04-03,UTA @ HOU
0022501117,2026-04-02,CLE @ GSW
0022501115,2026-04-02,DET vs. MIN
0022501114,2026-04-02,CHA vs. PHX
