GAME_ID,GAME_DATE,MATCHUP
0022301197,2024-04-14,DET @ SAS
0022301188,2024-04-14,IND vs. ATL
0022301186,2024-04-14,BOS vs. WAS
0022301192,2024-04-14,BKN @ PHI
0022301198,2024-04-14,UTA @ GSW
0022301194,2024-04-14,PHX @ MIN
0022301200,2024-04-14,POR @ SAC
0022301191,2024-04-14,MIL @ ORL
0022301193,2024-04-14,DEN @ MEM
0022301189,2024-04-14,TOR @ MIA
0022301187,2024-04-14,CLE vs. CHA
0022301190,2024-04-14,CHI @ NYK
0022301196,2024-04-14,DAL @ OKC
0022301195,2024-04-14,LAL @ NOP
0022301199,2024-04-14,LAC vs. HOU
0022301183,2024-04-12,POR vs. HOU
0022301177,2024-04-12,LAL @ MEM
0022301184,2024-04-12,LAC vs. UTA
0022301172,2024-04-12,CHI @ WAS
0022301175,2024-04-12,NYK vs. BKN
0022301185,2024-04-12,SAC vs. PHX
0022301180,2024-04-12,DEN @ SAS
0022301182,2024-04-12,NOP @ GSW
0022301171,2024-04-12,ORL @ PHI
0022301181,2024-04-12,DAL vs. DET
0022301176,2024-04-12,MIA vs. TOR
0022301174,2024-04-12,CLE vs. IND
0022301173,2024-04-12,CHA @ BOS
0022301178,2024-04-12,MIN vs. ATL
0022301179,2024-04-12,MIL @ OKC
0022301170,2024-04-11,NOP @ SAC
0022301169,2024-04-11,POR vs. GSW
0022301166,2024-04-11,DET vs. CHI
0022301168,2024-04-11,UTA vs. HOU
0022301167,2024-04-11,NYK @ BOS
0022301165,2024-04-10,LAC vs. PHX
0022301160,2024-04-10,BKN vs. TOR
0022301161,2024-04-10,DAL @ MIA
0022301159,2024-04-10,CHA @ ATL
0022301158,2024-04-10,MEM @ CLE
0022301162,2024-04-10,MIL vs. ORL
0022301163,2024-04-10,SAS @ OKC
0022301164,2024-04-10,DEN vs. MIN
0022301156,2024-04-09,PHX vs. LAC
0022301151,2024-04-09,MEM vs. SAS
0022301150,2024-04-09,HOU vs. ORL
0022301145,2024-04-09,DET @ PHI
0022301144,2024-04-09,CHA vs. DAL
0022301152,2024-04-09,WAS @ MIN
0022301148,2024-04-09,BOS @ MIL
0022301154,2024-04-09,DEN @ UTA
0022301149,2024-04-09,NYK @ CHI
0022301147,2024-04-09,ATL vs. MIA
0022301153,2024-04-09,OKC vs. SAC
0022301155,2024-04-09,LAL vs. GSW
0022301146,2024-04-09,IND @ TOR
0022301157,2024-04-09,NOP @ POR
0022301132,2024-04-07,CLE @ LAC
0022301142,2024-04-07,GSW vs. UTA
0022301135,2024-04-07,CHA vs. OKC
0022301134,2024-04-07,POR @ BOS
0022301141,2024-04-07,BKN vs. SAC
0022301138,2024-04-07,NOP @ PHX
0022301140,2024-04-07,PHI @ SAS
0022301136,2024-04-07,ORL vs. CHI
0022301131,2024-04-07,DAL vs. HOU
0022301137,2024-04-07,TOR vs. WAS
0022301133,2024-04-07,MIA @ IND
0022301143,2024-04-07,MIN @ LAL
0022301139,2024-04-07,NYK @ MIL
0022301128,2024-04-06,BKN vs. DET
0022301129,2024-04-06,PHI @ MEM
0022301127,2024-04-06,CLE @ LAL
0022301130,2024-04-06,ATL @ DEN
0022301126,2024-04-05,LAC vs. UTA
0022301119,2024-04-05,CHI vs. NYK
0022301118,2024-04-05,SAC @ BOS
0022301117,2024-04-05,POR @ WAS
0022301115,2024-04-05,ORL @ CHA
0022301122,2024-04-05,MIL vs. TOR
0022301120,2024-04-05,MIA @ HOU
0022301097,2024-04-05,DAL vs. GSW
0022301123,2024-04-05,SAS @ NOP
0022301116,2024-04-05,IND vs. OKC
0022301125,2024-04-05,PHX vs. MIN
0022301121,2024-04-05,MEM vs. DET
0022301111,2024-04-04,MIA vs. PHI
0022301113,2024-04-04,HOU vs. GSW
0022301114,2024-04-04,LAC vs. DEN
0022301112,2024-04-04,SAC @ NYK
0022301124,2024-04-04,ATL @ DAL
0022301102,2024-04-03,CHA vs. POR
0022301104,2024-04-03,ATL vs. DET
0022301105,2024-04-03,OKC @ BOS
0022301107,2024-04-03,MEM @ MIL
0022301108,2024-04-03,TOR @ MIN
0022301106,2024-04-03,BKN vs. IND
0022301109,2024-04-03,NOP vs. ORL
0022301110,2024-04-03,CLE @ PHX
0022301103,2024-04-03,WAS vs. LAL
0022301093,2024-04-02,OKC @ PHI
0022301094,2024-04-02,LAL @ TOR
0022301098,2024-04-02,MIN vs. HOU
0022301101,2024-04-02,LAC @ SAC
0022301096,2024-04-02,NYK @ MIA
0022301099,2024-04-02,DEN vs. SAS
0022301095,2024-04-02,MIL @ WAS
0022300589,2024-04-02,DAL @ GSW
0022301100,2024-04-02,CLE @ UTA
0022301090,2024-04-01,POR @ ORL
0022301089,2024-04-01,BKN @ IND
0022301091,2024-04-01,CHI vs. ATL
0022301088,2024-04-01,MEM @ DET
0022301092,2024-04-01,PHX @ NOP
0022301087,2024-04-01,CHA vs. BOS
0022301077,2024-03-31,CLE @ DEN
0022301083,2024-03-31,HOU vs. DAL
0022301086,2024-03-31,UTA @ SAC
0022301084,2024-03-31,CHI @ MIN
0022301081,2024-03-31,MIA @ WAS
0022301080,2024-03-31,TOR vs. PHI
0022301085,2024-03-31,GSW @ SAS
0022301079,2024-03-31,LAC @ CHA
0022301082,2024-03-31,NYK vs. OKC
0022301078,2024-03-31,BKN vs. LAL
0022301076,2024-03-30,ATL vs. MIL
0022301074,2024-03-30,NOP vs. BOS
0022301075,2024-03-30,ORL vs. MEM
0022301064,2024-03-29,LAC @ ORL
0022301062,2024-03-29,CHA vs. GSW
0022301065,2024-03-29,DET @ WAS
0022301067,2024-03-29,CLE vs. PHI
0022301072,2024-03-29,HOU @ UTA
0022301071,2024-03-29,MIN @ DEN
0022301073,2024-03-29,DAL @ SAC
