GAME_ID,GAME_DATE,MATCHUP
0021700001,2017-10-17,CLE vs. BOS
0021700002,2017-10-17,GSW vs. HOU
0021700008,2017-10-18,MEM vs. NOP
0021700009,2017-10-18,DAL vs. ATL
0021700013,2017-10-18,SAC vs. HOU
0021700006,2017-10-18,WAS vs. PHI
0021700011,2017-10-18,SAS vs. MIN
0021700004,2017-10-18,IND vs. BKN
0021700003,2017-10-18,DET vs. CHA
0021700010,2017-10-18,UTA vs. DEN
0021700005,2017-10-18,ORL vs. MIA
0021700007,2017-10-18,BOS vs. MIL
0021700012,2017-10-18,PHX vs. POR
0021700014,2017-10-19,TOR vs. CHI
0021700016,2017-10-19,LAL vs. LAC
0021700015,2017-10-19,OKC vs. NYK
0021700022,2017-10-20,BKN vs. ORL
0021700025,2017-10-20,NOP vs. GSW
0021700018,2017-10-20,IND vs. POR
0021700023,2017-10-20,MIN vs. UTA
0021700021,2017-10-20,MIL vs. CLE
0021700026,2017-10-20,PHX vs. LAL
0021700020,2017-10-20,WAS vs. DET
0021700017,2017-10-20,CHA vs. ATL
0021700019,2017-10-20,PHI vs. BOS
0021700024,2017-10-20,DAL vs. SAC
0021700030,2017-10-21,NYK vs. DET
0021700033,2017-10-21,MEM vs. GSW
0021700034,2017-10-21,MIL vs. POR
0021700036,2017-10-21,UTA vs. OKC
0021700029,2017-10-21,MIA vs. IND
0021700031,2017-10-21,CHI vs. SAS
0021700035,2017-10-21,DEN vs. SAC
0021700037,2017-10-21,LAC vs. PHX
0021700032,2017-10-21,HOU vs. DAL
0021700027,2017-10-21,TOR vs. PHI
0021700028,2017-10-21,CLE vs. ORL
0021700039,2017-10-22,OKC vs. MIN
0021700040,2017-10-22,LAL vs. NOP
0021700038,2017-10-22,BKN vs. ATL
0021700046,2017-10-23,SAS vs. TOR
0021700045,2017-10-23,DAL vs. GSW
0021700043,2017-10-23,HOU vs. MEM
0021700047,2017-10-23,DEN vs. WAS
0021700042,2017-10-23,MIA vs. ATL
0021700048,2017-10-23,PHX vs. SAC
0021700044,2017-10-23,MIL vs. CHA
0021700041,2017-10-23,DET vs. PHI
0021700050,2017-10-24,ORL vs. BKN
0021700053,2017-10-24,POR vs. NOP
0021700051,2017-10-24,BOS vs. NYK
0021700054,2017-10-24,LAC vs. UTA
0021700049,2017-10-24,CLE vs. CHI
0021700052,2017-10-24,MIN vs. IND
0021700055,2017-10-25,CHA vs. DEN
0021700063,2017-10-25,GSW vs. TOR
0021700060,2017-10-25,OKC vs. IND
0021700059,2017-10-25,MIA vs. SAS
0021700057,2017-10-25,PHI vs. HOU
0021700062,2017-10-25,PHX vs. UTA
0021700064,2017-10-25,LAL vs. WAS
0021700061,2017-10-25,DAL vs. MEM
0021700056,2017-10-25,DET vs. MIN
0021700058,2017-10-25,BKN vs. CLE
0021700069,2017-10-26,SAC vs. NOP
0021700066,2017-10-26,MEM vs. DAL
0021700068,2017-10-26,POR vs. LAC
0021700067,2017-10-26,MIL vs. BOS
0021700065,2017-10-26,CHI vs. ATL
0021700070,2017-10-27,CHA vs. HOU
0021700072,2017-10-27,ATL vs. DEN
0021700073,2017-10-27,NYK vs. BKN
0021700071,2017-10-27,ORL vs. SAS
0021700075,2017-10-27,GSW vs. WAS
0021700074,2017-10-27,MIN vs. OKC
0021700076,2017-10-27,LAL vs. TOR
0021700083,2017-10-28,POR vs. PHX
0021700080,2017-10-28,MEM vs. HOU
0021700081,2017-10-28,DAL vs. PHI
0021700077,2017-10-28,NOP vs. CLE
0021700079,2017-10-28,CHI vs. OKC
0021700084,2017-10-28,LAC vs. DET
0021700078,2017-10-28,MIA vs. BOS
0021700082,2017-10-28,UTA vs. LAL
0021700090,2017-10-29,CLE vs. NYK
0021700091,2017-10-29,GSW vs. DET
0021700086,2017-10-29,IND vs. SAS
0021700088,2017-10-29,CHA vs. ORL
0021700089,2017-10-29,SAC vs. WAS
0021700085,2017-10-29,ATL vs. MIL
0021700087,2017-10-29,BKN vs. DEN
0021700100,2017-10-30,LAC vs. GSW
0021700099,2017-10-30,POR vs. TOR
0021700097,2017-10-30,NOP vs. ORL
0021700092,2017-10-30,BOS vs. SAS
0021700095,2017-10-30,HOU vs. PHI
0021700094,2017-10-30,NYK vs. DEN
0021700098,2017-10-30,UTA vs. DAL
0021700096,2017-10-30,MEM vs. CHA
0021700093,2017-10-30,MIA vs. MIN
0021700103,2017-10-31,MIL vs. OKC
0021700102,2017-10-31,BKN vs. PHX
0021700104,2017-10-31,LAL vs. DET
0021700101,2017-10-31,IND vs. SAC
0021700107,2017-11-01,PHI vs. ATL
0021700113,2017-11-01,NOP vs. MIN
0021700110,2017-11-01,MIA vs. CHI
0021700115,2017-11-01,UTA vs. POR
0021700111,2017-11-01,NYK vs. HOU
0021700112,2017-11-01,MEM vs. ORL
0021700106,2017-11-01,CLE vs. IND
0021700105,2017-11-01,CHA vs. MIL
0021700114,2017-11-01,DEN vs. TOR
0021700108,2017-11-01,WAS vs. PHX
0021700116,2017-11-01,LAC vs. DAL
0021700109,2017-11-01,BOS vs. SAC
0021700117,2017-11-02,SAS vs. GSW
0021700118,2017-11-02,POR vs. LAL
0021700119,2017-11-03,DET vs. MIL
0021700126,2017-11-03,SAS vs. CHA
0021700123,2017-11-03,ATL vs. HOU
0021700124,2017-11-03,NYK vs. PHX
0021700120,2017-11-03,ORL vs. CHI
0021700121,2017-11-03,PHI vs. IND
0021700127,2017-11-03,DEN vs. MIA
0021700129,2017-11-03,OKC vs. BOS
0021700128,2017-11-03,UTA vs. TOR
0021700130,2017-11-03,LAL vs. BKN
0021700125,2017-11-03,DAL vs. NOP
0021700122,2017-11-03,WAS vs. CLE
0021700134,2017-11-04,MIN vs. DAL
0021700135,2017-11-04,DEN vs. GSW
0021700133,2017-11-04,CHI vs. NOP
0021700131,2017-11-04,LAC vs. MEM
0021700132,2017-11-04,DET vs. SAC
0021700141,2017-11-05,SAS vs. PHX
0021700138,2017-11-05,ORL vs. BOS
0021700137,2017-11-05,LAC vs. MIA
0021700139,2017-11-05,TOR vs. WAS
0021700144,2017-11-05,POR vs. OKC
0021700142,2017-11-05,NYK vs. IND
0021700136,2017-11-05,CLE vs. ATL
0021700145,2017-11-05,LAL vs. MEM
0021700143,2017-11-05,MIN vs. CHA
0021700140,2017-11-05,HOU vs. UTA
0021700148,2017-11-06,GSW vs. MIA
0021700147,2017-11-06,PHX vs. BKN
0021700146,2017-11-06,ATL vs. BOS
0021700152,2017-11-07,NYK vs. CHA
0021700157,2017-11-07,POR vs. MEM
0021700153,2017-11-07,TOR vs. CHI
0021700149,2017-11-07,CLE vs. MIL
0021700156,2017-11-07,UTA vs. PHI
0021700150,2017-11-07,IND vs. NOP
0021700155,2017-11-07,DEN vs. BKN
0021700154,2017-11-07,SAS vs. LAC
0021700158,2017-11-07,SAC vs. OKC
0021700151,2017-11-07,WAS vs. DAL
0021700160,2017-11-08,ORL vs. NYK
0021700161,2017-11-08,BOS vs. LAL
0021700159,2017-11-08,DET vs. IND
0021700162,2017-11-08,PHX vs. MIA
0021700163,2017-11-08,GSW vs. MIN
0021700165,2017-11-09,TOR vs. NOP
0021700164,2017-11-09,WAS vs. LAL
0021700167,2017-11-09,SAC vs. PHI
0021700166,2017-11-09,HOU vs. CLE
0021700168,2017-11-09,DEN vs. OKC
0021700171,2017-11-10,CHI vs. IND
0021700174,2017-11-10,PHX vs. ORL
0021700170,2017-11-10,BOS vs. CHA
0021700172,2017-11-10,OKC vs. LAC
0021700175,2017-11-10,UTA vs. MIA
0021700169,2017-11-10,DET vs. ATL
0021700173,2017-11-10,SAS vs. MIL
0021700176,2017-11-10,POR vs. BKN
0021700187,2017-11-11,UTA vs. BKN
0021700180,2017-11-11,HOU vs. MEM
0021700183,2017-11-11,SAS vs. CHI
0021700177,2017-11-11,WAS vs. ATL
0021700184,2017-11-11,GSW vs. PHI
0021700182,2017-11-11,MIL vs. LAL
0021700178,2017-11-11,NOP vs. LAC
0021700186,2017-11-11,PHX vs. MIN
0021700181,2017-11-11,DAL vs. CLE
0021700185,2017-11-11,DEN vs. ORL
0021700179,2017-11-11,NYK vs. SAC
0021700189,2017-11-12,DET vs. MIA
0021700188,2017-11-12,BOS vs. TOR
0021700190,2017-11-12,IND vs. HOU
0021700191,2017-11-12,OKC vs. DAL
0021700192,2017-11-13,WAS vs. SAC
0021700195,2017-11-13,NOP vs. ATL
0021700198,2017-11-13,POR vs. DEN
0021700197,2017-11-13,UTA vs. MIN
0021700194,2017-11-13,MIL vs. MEM
0021700200,2017-11-13,LAC vs. PHI
0021700199,2017-11-13,GSW vs. ORL
0021700196,2017-11-13,PHX vs. LAL
0021700193,2017-11-13,NYK vs. CLE
0021700203,2017-11-14,DAL vs. SAS
0021700201,2017-11-14,BKN vs. BOS
0021700202,2017-11-14,HOU vs. TOR
0021700207,2017-11-15,CHA vs. CLE
0021700213,2017-11-15,POR vs. ORL
0021700208,2017-11-15,MEM vs. IND
0021700205,2017-11-15,MIA vs. WAS
0021700206,2017-11-15,NYK vs. UTA
0021700204,2017-11-15,ATL vs. SAC
0021700212,2017-11-15,OKC vs. CHI
0021700211,2017-11-15,NOP vs. TOR
0021700210,2017-11-15,MIN vs. SAS
0021700209,2017-11-15,MIL vs. DET
0021700214,2017-11-15,LAL vs. PHI
0021700215,2017-11-16,BOS vs. GSW
0021700216,2017-11-16,PHX vs. HOU
0021700226,2017-11-17,DEN vs. NOP
0021700220,2017-11-17,CLE vs. LAC
0021700225,2017-11-17,SAC vs. POR
0021700224,2017-11-17,DAL vs. MIN
0021700227,2017-11-17,LAL vs. PHX
0021700218,2017-11-17,WAS vs. MIA
0021700221,2017-11-17,TOR vs. NYK
0021700222,2017-11-17,CHI vs. CHA
0021700217,2017-11-17,IND vs. DET
0021700219,2017-11-17,BKN vs. UTA
0021700223,2017-11-17,SAS vs. OKC
0021700233,2017-11-18,DAL vs. MIL
0021700232,2017-11-18,MEM vs. HOU
0021700231,2017-11-18,PHI vs. GSW
0021700229,2017-11-18,ORL vs. UTA
0021700228,2017-11-18,CHA vs. LAC
0021700230,2017-11-18,ATL vs. BOS
0021700234,2017-11-18,POR vs. SAC
0021700238,2017-11-19,MIN vs. DET
0021700236,2017-11-19,BKN vs. GSW
0021700240,2017-11-19,LAL vs. DEN
0021700239,2017-11-19,PHX vs. CHI
0021700235,2017-11-19,MIA vs. IND
0021700237,2017-11-19,TOR vs. WAS
0021700242,2017-11-20,DET vs. CLE
0021700250,2017-11-20,SAS vs. ATL
0021700249,2017-11-20,DAL vs. BOS
0021700245,2017-11-20,NYK vs. LAC
0021700244,2017-11-20,PHI vs. UTA
0021700243,2017-11-20,ORL vs. IND
0021700251,2017-11-20,SAC vs. DEN
0021700241,2017-11-20,CHA vs. MIN
0021700246,2017-11-20,MEM vs. POR
0021700248,2017-11-20,NOP vs. OKC
0021700247,2017-11-20,MIL vs. WAS
0021700252,2017-11-21,LAL vs. CHI
0021700263,2017-11-22,OKC vs. GSW
0021700253,2017-11-22,CHA vs. WAS
0021700266,2017-11-22,SAC vs. LAL
0021700255,2017-11-22,PHI vs. POR
0021700264,2017-11-22,PHX vs. MIL
0021700265,2017-11-22,UTA vs. CHI
0021700259,2017-11-22,HOU vs. DEN
0021700262,2017-11-22,NOP vs. SAS
0021700256,2017-11-22,ATL vs. LAC
0021700257,2017-11-22,MIA vs. BOS
0021700258,2017-11-22,NYK vs. TOR
0021700254,2017-11-22,CLE vs. BKN
0021700261,2017-11-22,MIN vs. ORL
0021700260,2017-11-22,MEM vs. DAL
0021700267,2017-11-24,BKN vs. POR
0021700270,2017-11-24,CLE vs. CHA
0021700276,2017-11-24,GSW vs. CHI
0021700274,2017-11-24,DEN vs. MEM
0021700269,2017-11-24,BOS vs. ORL
0021700273,2017-11-24,OKC vs. DET
0021700275,2017-11-24,PHX vs. NOP
0021700268,2017-11-24,ATL vs. NYK
0021700272,2017-11-24,MIN vs. MIA
0021700271,2017-11-24,IND vs. TOR
0021700282,2017-11-25,HOU vs. NYK
0021700283,2017-11-25,DAL vs. OKC
0021700280,2017-11-25,ATL vs. TOR
0021700281,2017-11-25,IND vs. BOS
0021700285,2017-11-25,UTA vs. MIL
0021700277,2017-11-25,CHA vs. SAS
0021700279,2017-11-25,WAS vs. POR
0021700284,2017-11-25,GSW vs. NOP
0021700286,2017-11-25,SAC vs. LAC
0021700278,2017-11-25,PHI vs. ORL
0021700287,2017-11-26,CHI vs. MIA
0021700288,2017-11-26,MIN vs. PHX
0021700289,2017-11-26,MEM vs. BKN
0021700290,2017-11-27,IND vs. ORL
0021700297,2017-11-27,LAC vs. LAL
0021700295,2017-11-27,SAS vs. DAL
0021700294,2017-11-27,HOU vs. BKN
0021700292,2017-11-27,BOS vs. DET
0021700291,2017-11-27,PHI vs. CLE
0021700293,2017-11-27,NYK vs. POR
0021700296,2017-11-27,GSW vs. SAC
