gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,matchupMinutes,partialPossessions,switchesOn,playerPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,blocks,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage
0022500673,1610612737,Atlanta,Hawks,ATL,hawks,1630557,Corey,Kispert,C. Kispert,corey-kispert,F,,24,9:28,40.6,0,17,2,2,0,0,0,8,10,0.8,1,2,0.5
0022500673,1610612737,Atlanta,Hawks,ATL,hawks,1630552,Jalen,Johnson,J. Johnson,jalen-johnson,F,,1,14:46,65.0,0,17,12,1,2,0,0,7,12,0.583,2,5,0.4
0022500673,1610612737,Atlanta,Hawks,ATL,hawks,1630168,Onyeka,Okongwu,O. Okongwu,onyeka-okongwu,C,,17,13:14,58.9,0,9,4,7,4,2,1,3,14,0.214,0,7,0.0
0022500673,1610612737,Atlanta,Hawks,ATL,hawks,1630700,Dyson,Daniels,D. Daniels,dyson-daniels,G,,5,15:53,69.3,0,25,4,1,4,5,1,11,19,0.579,3,7,0.429
0022500673,1610612737,Atlanta,Hawks,ATL,hawks,1629638,Nickeil,Alexander-Walker,N. Alexander-Walker,nickeil-alexander-walker,G,,7,14:01,62.4,0,12,1,0,1,3,0,4,12,0.333,2,5,0.4
0022500673,1610612737,Atlanta,Hawks,ATL,hawks,1631132,Christian,Koloko,C. Koloko,christian-koloko,,,10,5:56,24.3,0,13,1,3,2,0,0,5,9,0.556,0,2,0.0
0022500673,1610612737,Atlanta,Hawks,ATL,hawks,203468,CJ,McCollum,C. McCollum,cj-mccollum,,,3,13:01,55.4,0,11,2,1,1,1,0,5,10,0.5,0,2,0.0
0022500673,1610612737,Atlanta,Hawks,ATL,hawks,1628379,Luke,Kennard,L. Kennard,luke-kennard,,,3,10:35,46.5,0,6,0,2,1,0,0,3,8,0.375,0,3,0.0
0022500673,1610612737,Atlanta,Hawks,ATL,hawks,1631243,Mouhamed,Gueye,M. Gueye,mouhamed-gueye,,,18,7:33,34.1,0,4,2,2,1,0,0,1,3,0.333,1,2,0.5
0022500673,1610612737,Atlanta,Hawks,ATL,hawks,1630249,Vít,Krejčí,V. Krejčí,vít-krejčí,,,27,2:20,11.5,0,3,0,2,0,0,0,1,2,0.5,1,1,1.0
0022500673,1610612737,Atlanta,Hawks,ATL,hawks,1630811,Keaton,Wallace,K. Wallace,keaton-wallace,,,2,0:15,2.0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0
0022500673,1610612738,Boston,Celtics,BOS,celtics,1627759,Jaylen,Brown,J. Brown,jaylen-brown,F,,7,9:48,58.6,0,19,7,2,0,0,1,7,11,0.636,3,7,0.429
0022500673,1610612738,Boston,Celtics,BOS,celtics,1630573,Sam,Hauser,S. Hauser,sam-hauser,F,,30,8:43,50.9,0,23,5,5,1,0,1,10,18,0.556,3,5,0.6
0022500673,1610612738,Boston,Celtics,BOS,celtics,1642873,Amari,Williams,A. Williams,amari-williams,C,,77,5:19,30.1,0,2,6,3,0,0,1,1,5,0.2,0,2,0.0
0022500673,1610612738,Boston,Celtics,BOS,celtics,1630202,Payton,Pritchard,P. Pritchard,payton-pritchard,G,,11,9:26,56.1,0,14,4,2,0,0,0,6,8,0.75,2,3,0.667
0022500673,1610612738,Boston,Celtics,BOS,celtics,1628401,Derrick,White,D. White,derrick-white,G,,9,11:03,61.1,0,16,4,6,2,1,1,7,15,0.467,2,8,0.25
0022500673,1610612738,Boston,Celtics,BOS,celtics,1630568,Luka,Garza,L. Garza,luka-garza,,,52,7:39,46.9,0,6,1,3,1,0,0,3,8,0.375,0,2,0.0
0022500673,1610612738,Boston,Celtics,BOS,celtics,1629014,Anfernee,Simons,A. Simons,anfernee-simons,,,4,7:03,37.0,0,13,0,0,1,1,0,5,8,0.625,1,2,0.5
0022500673,1610612738,Boston,Celtics,BOS,celtics,1642864,Hugo,González,H. González,hugo-gonzález,,,28,9:17,52.0,0,22,4,7,0,0,1,9,18,0.5,4,7,0.571
0022500673,1610612738,Boston,Celtics,BOS,celtics,1631248,Baylor,Scheierman,B. Scheierman,baylor-scheierman,,,55,6:28,31.4,0,2,2,1,1,0,0,1,3,0.333,0,1,0.0
0022500673,1610612738,Boston,Celtics,BOS,celtics,1641775,Jordan,Walsh,J. Walsh,jordan-walsh,,,27,8:13,38.1,0,3,2,2,2,1,1,1,5,0.2,1,2,0.5
0022500673,1610612738,Boston,Celtics,BOS,celtics,1631169,Josh,Minott,J. Minott,josh-minott,,,8,2:04,8.0,0,2,1,0,0,0,0,1,3,0.333,0,1,0.0
