gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,matchupMinutes,partialPossessions,switchesOn,playerPoints,defensiveRebounds,matchupAssists,matchupTurnovers,steals,blocks,matchupFieldGoalsMade,matchupFieldGoalsAttempted,matchupFieldGoalPercentage,matchupThreePointersMade,matchupThreePointersAttempted,matchupThreePointerPercentage
0022400626,1610612758,Sacramento,Kings,SAC,kings,201942,DeMar,DeRozan,D. DeRozan,demar-derozan,F,,10,15:02,86.9,0,25,4,1,0,0,1,11,18,0.611,3,7,0.429
0022400626,1610612758,Sacramento,Kings,SAC,kings,1631099,Keegan,Murray,K. Murray,keegan-murray,F,,13,11:36,65.1,0,12,4,4,2,1,1,5,9,0.556,1,2,0.5
0022400626,1610612758,Sacramento,Kings,SAC,kings,1627734,Domantas,Sabonis,D. Sabonis,domantas-sabonis,C,,11,15:27,91.0,0,32,13,12,1,0,0,13,29,0.448,2,7,0.286
0022400626,1610612758,Sacramento,Kings,SAC,kings,1628370,Malik,Monk,M. Monk,malik-monk,G,,0,12:26,68.9,0,13,2,0,0,1,0,3,11,0.273,0,3,0.0
0022400626,1610612758,Sacramento,Kings,SAC,kings,1628368,De'Aaron,Fox,D. Fox,deaaron-fox,G,,5,16:13,92.9,0,24,4,3,3,1,1,10,18,0.556,3,7,0.429
0022400626,1610612758,Sacramento,Kings,SAC,kings,1631165,Keon,Ellis,K. Ellis,keon-ellis,,,23,8:31,51.2,0,14,1,1,1,1,0,6,11,0.545,0,2,0.0
0022400626,1610612758,Sacramento,Kings,SAC,kings,1642269,Devin,Carter,D. Carter,devin-carter,,,22,0:59,6.0,0,7,0,1,0,0,0,2,2,1.0,2,2,1.0
0022400626,1610612758,Sacramento,Kings,SAC,kings,1626168,Trey,Lyles,T. Lyles,trey-lyles,,,41,8:29,48.9,0,9,8,2,2,1,0,4,10,0.4,1,5,0.2
0022400626,1610612758,Sacramento,Kings,SAC,kings,1628989,Kevin,Huerter,K. Huerter,kevin-huerter,,,9,2:35,12.9,0,1,0,1,0,0,0,0,3,0.0,0,0,0.0
0022400626,1610612758,Sacramento,Kings,SAC,kings,203926,Doug,McDermott,D. McDermott,doug-mcdermott,,,7,4:34,21.0,0,3,0,1,0,0,0,1,3,0.333,0,1,0.0
0022400626,1610612743,Denver,Nuggets,DEN,nuggets,1631128,Christian,Braun,C. Braun,christian-braun,F,,0,9:20,54.9,0,12,0,3,0,2,1,4,11,0.364,0,3,0.0
0022400626,1610612743,Denver,Nuggets,DEN,nuggets,1629008,Michael,Porter Jr.,M. Porter Jr.,michael-porter-jr,F,,1,12:07,73.0,0,13,4,2,0,1,1,5,9,0.556,3,3,1.0
0022400626,1610612743,Denver,Nuggets,DEN,nuggets,203999,Nikola,Jokić,N. Jokić,nikola-jokić,C,,15,14:19,84.1,0,37,19,9,1,1,2,16,39,0.41,2,9,0.222
0022400626,1610612743,Denver,Nuggets,DEN,nuggets,201566,Russell,Westbrook,R. Westbrook,russell-westbrook,G,,4,11:38,70.0,0,4,4,5,2,1,0,2,7,0.286,0,2,0.0
0022400626,1610612743,Denver,Nuggets,DEN,nuggets,1627750,Jamal,Murray,J. Murray,jamal-murray,G,,27,15:03,89.5,0,21,5,4,4,3,0,9,14,0.643,3,4,0.75
0022400626,1610612743,Denver,Nuggets,DEN,nuggets,1631124,Julian,Strawther,J. Strawther,julian-strawther,,,3,7:26,44.1,0,12,0,0,1,1,0,4,8,0.5,3,6,0.5
0022400626,1610612743,Denver,Nuggets,DEN,nuggets,203932,Aaron,Gordon,A. Gordon,aaron-gordon,,,32,6:35,38.5,0,5,1,2,0,0,0,1,8,0.125,1,4,0.25
0022400626,1610612743,Denver,Nuggets,DEN,nuggets,1631212,Peyton,Watson,P. Watson,peyton-watson,,,8,9:49,58.1,0,13,4,3,1,1,4,5,15,0.333,2,5,0.4
0022400626,1610612743,Denver,Nuggets,DEN,nuggets,201599,DeAndre,Jordan,D. Jordan,deandre-jordan,,,6,3:41,22.9,0,8,4,1,1,0,0,3,9,0.333,0,3,0.0
